rep,id,rho,kappa,psi,phi,beta,alpha,delta,theta,scaling,GROUP
4,6,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.471952,5714.73,vvDD
5,6,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.189962,5714.73,vvDD
6,6,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.069842,5714.73,vvDD
7,6,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.332732,5714.73,vvDD
8,6,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.106884,5714.73,vvDD
9,6,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.27116,5714.73,vvDD
10,6,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0708298,5714.73,vvDD
1,7,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0142005,5714.73,vvDD
2,7,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.110623,5714.73,vvDD
3,7,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.444266,5714.73,vvDD
4,7,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0868599,5714.73,vvDD
5,7,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.299963,5714.73,vvDD
6,7,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0869763,5714.73,vvDD
7,7,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.157221,5714.73,vvDD
8,7,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0732336,5714.73,vvDD
9,7,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0104594,5714.73,vvDD
10,7,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.192872,5714.73,vvDD
1,8,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.104779,5714.73,vvDD
2,8,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.162671,5714.73,vvDD
3,8,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.123312,5714.73,vvDD
4,8,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.2798,5714.73,vvDD
5,8,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.128349,5714.73,vvDD
6,8,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.145894,5714.73,vvDD
7,8,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.317942,5714.73,vvDD
8,8,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.00667866,5714.73,vvDD
9,8,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.210635,5714.73,vvDD
10,8,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0028294,5714.73,vvDD
1,9,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0205014,5714.73,vvDD
2,9,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.00709091,5714.73,vvDD
3,9,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.229756,5714.73,vvDD
4,9,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0804704,5714.73,vvDD
5,9,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.265,5714.73,vvDD
6,9,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.220581,5714.73,vvDD
7,9,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0131884,5714.73,vvDD
8,9,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0741944,5714.73,vvDD
9,9,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.106243,5714.73,vvDD
10,9,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.153542,5714.73,vvDD
1,10,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0191965,5714.73,vvDD
2,10,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.109028,5714.73,vvDD
3,10,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.192515,5714.73,vvDD
4,10,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.140218,5714.73,vvDD
5,10,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.236387,5714.73,vvDD
6,10,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.497535,5714.73,vvDD
7,10,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.747806,5714.73,vvDD
8,10,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.19482,5714.73,vvDD
9,10,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.558935,5714.73,vvDD
10,10,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0535381,5714.73,vvDD
1,11,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.841889,5714.73,ctrl
2,11,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.37811,5714.73,ctrl
3,11,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.2883,5714.73,ctrl
4,11,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.995824,5714.73,ctrl
5,11,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.386765,5714.73,ctrl
6,11,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.30958,5714.73,ctrl
7,11,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.31974,5714.73,ctrl
8,11,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.54861,5714.73,ctrl
9,11,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.17506,5714.73,ctrl
10,11,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.924085,5714.73,ctrl
1,12,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.966125,5714.73,ctrl
2,12,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.50599,5714.73,ctrl
