iteration,convergenceIndicator,phase,theta_pop,omega_theta,b
128,3084.47,1,-0.188951,0.545101,0.421024
129,3084.19,1,-0.150389,0.531299,0.418983
130,3080.2,1,-0.208391,0.517846,0.418786
131,3080.1,1,-0.235365,0.504734,0.420218
132,3085.87,1,-0.242808,0.54821,0.426337
133,3092.57,1,-0.219151,0.548287,0.436705
134,3082.86,1,-0.294398,0.534404,0.432797
135,3085.59,1,-0.222711,0.520872,0.430004
136,3089.53,1,-0.21122,0.516302,0.43123
137,3088.33,1,-0.173719,0.55342,0.42049
138,3082.7,1,-0.114573,0.541098,0.405683
139,3081.67,1,-0.221903,0.540656,0.415976
140,3076.97,1,-0.270846,0.526966,0.417922
141,3082.52,1,-0.213281,0.529956,0.420722
142,3092.54,1,-0.181516,0.536833,0.439376
143,3084.14,1,-0.218152,0.52324,0.425937
144,3086.71,1,-0.195203,0.509991,0.430856
145,3080.89,1,-0.236703,0.497078,0.423111
146,3085.91,1,-0.157719,0.538042,0.420763
147,3079.39,1,-0.178835,0.524419,0.408399
148,3078.42,1,-0.189032,0.51114,0.408858
149,3082.14,1,-0.189048,0.498198,0.416497
150,3080.8,1,-0.179884,0.485908,0.417784
151,3087.63,1,-0.229552,0.474598,0.438311
152,3078.71,1,-0.239259,0.462581,0.42356
153,3087.64,1,-0.199197,0.489361,0.430001
154,3088.69,1,-0.244906,0.514879,0.434301
155,3096.46,1,-0.165775,0.501842,0.440018
156,3096.64,1,-0.169619,0.509611,0.438654
157,3089.82,1,-0.0822238,0.496708,0.425921
158,3082.08,1,-0.22323,0.505839,0.420829
159,3084.28,1,-0.237013,0.528386,0.421563
160,3089.47,1,-0.184951,0.53456,0.429951
161,3084.42,1,-0.245474,0.530509,0.426354
162,3079.03,1,-0.281468,0.517076,0.425478
163,3088.73,1,-0.148889,0.544678,0.422821
164,3087.4,1,-0.227647,0.594455,0.420218
165,3085.39,1,-0.224692,0.579403,0.422545
166,3091.51,1,-0.242831,0.564733,0.437871
167,3084.99,1,-0.228766,0.550433,0.427122
168,3088.19,1,-0.204495,0.562277,0.430588
169,3091.49,1,-0.169035,0.552394,0.421986
170,3092.05,1,-0.0712164,0.538407,0.417506
171,3087.79,1,-0.150113,0.555476,0.418349
172,3088.94,1,-0.155764,0.565091,0.419564
173,3091.38,1,-0.111493,0.550782,0.423401
174,3091.44,1,-0.0607517,0.57535,0.416181
175,3085.87,1,-0.0743707,0.560782,0.410168
176,3085.3,1,-0.097966,0.546583,0.414262
177,3084.44,1,-0.118378,0.532743,0.416063
178,3080.7,1,-0.182928,0.519254,0.412341
179,3081.86,1,-0.251886,0.516001,0.4226
180,3082.36,1,-0.207402,0.518056,0.415906
181,3087.07,1,-0.235904,0.521462,0.434292
182,3082.39,1,-0.21433,0.534755,0.420299
183,3083.8,1,-0.213422,0.522561,0.424843
184,3086.39,1,-0.18456,0.581627,0.418139
185,3086.84,1,-0.107144,0.578776,0.41361
186,3088.33,1,-0.0903411,0.575793,0.411479
187,3090.48,1,-0.139137,0.601973,0.415777
188,3086.66,1,-0.162618,0.600668,0.410912
189,3079.74,1,-0.190199,0.585458,0.408047
190,3081.25,1,-0.171438,0.570634,0.407846
191,3081.2,1,-0.226909,0.556185,0.420785
