rep,id,eta_rho,eta_kappa,eta_psi,eta_phi,eta_beta,eta_alpha,eta_delta,eta_theta,eta_scaling,GROUP
3,11,0,0,0,0,0,0,0,-1.09833,0,ctrl
4,11,0,0,0,0,0,0,0,-0.805849,0,ctrl
5,11,0,0,0,0,0,0,0,-0.196789,0,ctrl
6,11,0,0,0,0,0,0,0,-1.1196,0,ctrl
7,11,0,0,0,0,0,0,0,-1.12976,0,ctrl
8,11,0,0,0,0,0,0,0,-0.358634,0,ctrl
9,11,0,0,0,0,0,0,0,-0.985088,0,ctrl
10,11,0,0,0,0,0,0,0,-0.734109,0,ctrl
1,12,0,0,0,0,0,0,0,-0.776149,0,ctrl
2,12,0,0,0,0,0,0,0,-1.31602,0,ctrl
3,12,0,0,0,0,0,0,0,-1.653,0,ctrl
4,12,0,0,0,0,0,0,0,-1.11752,0,ctrl
5,12,0,0,0,0,0,0,0,-1.45348,0,ctrl
6,12,0,0,0,0,0,0,0,-1.1514,0,ctrl
7,12,0,0,0,0,0,0,0,-1.296,0,ctrl
8,12,0,0,0,0,0,0,0,-1.38022,0,ctrl
9,12,0,0,0,0,0,0,0,0.148031,0,ctrl
10,12,0,0,0,0,0,0,0,-1.07243,0,ctrl
1,13,0,0,0,0,0,0,0,-0.653751,0,ctrl
2,13,0,0,0,0,0,0,0,-0.845144,0,ctrl
3,13,0,0,0,0,0,0,0,-0.872218,0,ctrl
4,13,0,0,0,0,0,0,0,-1.30582,0,ctrl
5,13,0,0,0,0,0,0,0,-0.386062,0,ctrl
6,13,0,0,0,0,0,0,0,-1.13922,0,ctrl
7,13,0,0,0,0,0,0,0,-0.936234,0,ctrl
8,13,0,0,0,0,0,0,0,-0.67467,0,ctrl
9,13,0,0,0,0,0,0,0,-1.19505,0,ctrl
10,13,0,0,0,0,0,0,0,-0.54012,0,ctrl
1,14,0,0,0,0,0,0,0,-0.0360457,0,ctrl
2,14,0,0,0,0,0,0,0,-0.147076,0,ctrl
3,14,0,0,0,0,0,0,0,-0.0559187,0,ctrl
4,14,0,0,0,0,0,0,0,-0.0599304,0,ctrl
5,14,0,0,0,0,0,0,0,-0.234533,0,ctrl
6,14,0,0,0,0,0,0,0,-0.532561,0,ctrl
7,14,0,0,0,0,0,0,0,-0.424829,0,ctrl
8,14,0,0,0,0,0,0,0,-0.136192,0,ctrl
9,14,0,0,0,0,0,0,0,-0.308677,0,ctrl
10,14,0,0,0,0,0,0,0,0.0831151,0,ctrl
1,15,0,0,0,0,0,0,0,-0.318266,0,ctrl
2,15,0,0,0,0,0,0,0,0.235115,0,ctrl
3,15,0,0,0,0,0,0,0,-0.0207212,0,ctrl
4,15,0,0,0,0,0,0,0,-0.154868,0,ctrl
5,15,0,0,0,0,0,0,0,-0.165059,0,ctrl
6,15,0,0,0,0,0,0,0,-0.216993,0,ctrl
7,15,0,0,0,0,0,0,0,-0.14914,0,ctrl
8,15,0,0,0,0,0,0,0,-0.0632968,0,ctrl
9,15,0,0,0,0,0,0,0,-0.0744658,0,ctrl
10,15,0,0,0,0,0,0,0,-0.257185,0,ctrl
1,16,0,0,0,0,0,0,0,0.144898,0,ctrl
2,16,0,0,0,0,0,0,0,-0.447956,0,ctrl
3,16,0,0,0,0,0,0,0,-0.195581,0,ctrl
4,16,0,0,0,0,0,0,0,-0.297768,0,ctrl
5,16,0,0,0,0,0,0,0,-0.210063,0,ctrl
6,16,0,0,0,0,0,0,0,0.0639386,0,ctrl
7,16,0,0,0,0,0,0,0,-0.122827,0,ctrl
8,16,0,0,0,0,0,0,0,-0.135744,0,ctrl
9,16,0,0,0,0,0,0,0,-0.762495,0,ctrl
10,16,0,0,0,0,0,0,0,-0.291684,0,ctrl
1,17,0,0,0,0,0,0,0,0.470237,0,ctrl
2,17,0,0,0,0,0,0,0,-0.0651169,0,ctrl
3,17,0,0,0,0,0,0,0,0.328151,0,ctrl
4,17,0,0,0,0,0,0,0,0.464486,0,ctrl
5,17,0,0,0,0,0,0,0,0.670961,0,ctrl
6,17,0,0,0,0,0,0,0,0.0868836,0,ctrl
7,17,0,0,0,0,0,0,0,0.522026,0,ctrl
8,17,0,0,0,0,0,0,0,0.708569,0,ctrl
9,17,0,0,0,0,0,0,0,0.624223,0,ctrl
10,17,0,0,0,0,0,0,0,0.16996,0,ctrl
1,18,0,0,0,0,0,0,0,0.463642,0,ctrl
2,18,0,0,0,0,0,0,0,0.340243,0,ctrl
3,18,0,0,0,0,0,0,0,0.743197,0,ctrl
4,18,0,0,0,0,0,0,0,0.17959,0,ctrl
5,18,0,0,0,0,0,0,0,0.941059,0,ctrl
6,18,0,0,0,0,0,0,0,0.180812,0,ctrl
7,18,0,0,0,0,0,0,0,0.692068,0,ctrl
8,18,0,0,0,0,0,0,0,0.21407,0,ctrl
9,18,0,0,0,0,0,0,0,1.10687,0,ctrl
10,18,0,0,0,0,0,0,0,0.543943,0,ctrl
1,19,0,0,0,0,0,0,0,0.0739686,0,ctrl
2,19,0,0,0,0,0,0,0,1.08503,0,ctrl
3,19,0,0,0,0,0,0,0,0.990315,0,ctrl
4,19,0,0,0,0,0,0,0,0.238159,0,ctrl
5,19,0,0,0,0,0,0,0,0.672831,0,ctrl
6,19,0,0,0,0,0,0,0,0.390921,0,ctrl
7,19,0,0,0,0,0,0,0,0.286271,0,ctrl
8,19,0,0,0,0,0,0,0,0.294347,0,ctrl
9,19,0,0,0,0,0,0,0,0.0729435,0,ctrl
10,19,0,0,0,0,0,0,0,0.143586,0,ctrl
1,20,0,0,0,0,0,0,0,0.67808,0,ctrl
2,20,0,0,0,0,0,0,0,0.968046,0,ctrl
3,20,0,0,0,0,0,0,0,0.289573,0,ctrl
4,20,0,0,0,0,0,0,0,0.296573,0,ctrl
5,20,0,0,0,0,0,0,0,0.637654,0,ctrl
6,20,0,0,0,0,0,0,0,0.411001,0,ctrl
7,20,0,0,0,0,0,0,0,0.610244,0,ctrl
8,20,0,0,0,0,0,0,0,0.87784,0,ctrl
9,20,0,0,0,0,0,0,0,0.864074,0,ctrl
10,20,0,0,0,0,0,0,0,0.728079,0,ctrl
