pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
,,2.74314,0.985,,,All
,,2.76747,0.986,,,All
,,2.81952,0.987,,,All
,,2.83784,0.988,,,All
,,2.85695,0.989,,,All
,,2.87997,0.99,,,All
,,2.89201,0.991,,,All
,,2.89413,0.992,,,All
,,2.96274,0.993,,,All
,,2.99041,0.994,,,All
,,3.01402,0.995,,,All
,,3.05293,0.996,,,All
,,3.0991,0.997,,,All
,,3.11233,0.998,,,All
,,3.12935,0.999,,,All
,,3.18856,1,,,All
,,4,1,,,All
