rep,ID,trans_theta_simulated,eta_theta_simulated,GROUP,split,color,filter
4,11,-0.386765,-0.196789,ctrl,All,#4682B4,0
5,11,-1.30958,-1.1196,ctrl,All,#4682B4,0
6,11,-1.31974,-1.12976,ctrl,All,#4682B4,0
7,11,-0.54861,-0.358634,ctrl,All,#4682B4,0
8,11,-1.17506,-0.985088,ctrl,All,#4682B4,0
9,11,-0.924085,-0.734109,ctrl,All,#4682B4,0
0,12,-0.966125,-0.776149,ctrl,All,#4682B4,0
1,12,-1.50599,-1.31602,ctrl,All,#4682B4,0
2,12,-1.84298,-1.653,ctrl,All,#4682B4,0
3,12,-1.3075,-1.11752,ctrl,All,#4682B4,0
4,12,-1.64346,-1.45348,ctrl,All,#4682B4,0
5,12,-1.34138,-1.1514,ctrl,All,#4682B4,0
6,12,-1.48598,-1.296,ctrl,All,#4682B4,0
7,12,-1.57019,-1.38022,ctrl,All,#4682B4,0
8,12,-0.0419442,0.148031,ctrl,All,#4682B4,0
9,12,-1.2624,-1.07243,ctrl,All,#4682B4,0
0,13,-0.843727,-0.653751,ctrl,All,#4682B4,0
1,13,-1.03512,-0.845144,ctrl,All,#4682B4,0
2,13,-1.06219,-0.872218,ctrl,All,#4682B4,0
3,13,-1.49579,-1.30582,ctrl,All,#4682B4,0
4,13,-0.576037,-0.386062,ctrl,All,#4682B4,0
5,13,-1.3292,-1.13922,ctrl,All,#4682B4,0
6,13,-1.12621,-0.936234,ctrl,All,#4682B4,0
7,13,-0.864646,-0.67467,ctrl,All,#4682B4,0
8,13,-1.38503,-1.19505,ctrl,All,#4682B4,0
9,13,-0.730096,-0.54012,ctrl,All,#4682B4,0
0,14,-0.226021,-0.0360457,ctrl,All,#4682B4,0
1,14,-0.337052,-0.147076,ctrl,All,#4682B4,0
2,14,-0.245894,-0.0559187,ctrl,All,#4682B4,0
3,14,-0.249906,-0.0599304,ctrl,All,#4682B4,0
4,14,-0.424508,-0.234533,ctrl,All,#4682B4,0
5,14,-0.722536,-0.532561,ctrl,All,#4682B4,0
6,14,-0.614805,-0.424829,ctrl,All,#4682B4,0
7,14,-0.326168,-0.136192,ctrl,All,#4682B4,0
8,14,-0.498652,-0.308677,ctrl,All,#4682B4,0
9,14,-0.10686,0.0831151,ctrl,All,#4682B4,0
0,15,-0.508242,-0.318266,ctrl,All,#4682B4,0
1,15,0.0451393,0.235115,ctrl,All,#4682B4,0
2,15,-0.210697,-0.0207212,ctrl,All,#4682B4,0
3,15,-0.344844,-0.154868,ctrl,All,#4682B4,0
4,15,-0.355035,-0.165059,ctrl,All,#4682B4,0
5,15,-0.406969,-0.216993,ctrl,All,#4682B4,0
6,15,-0.339116,-0.14914,ctrl,All,#4682B4,0
7,15,-0.253272,-0.0632968,ctrl,All,#4682B4,0
8,15,-0.264441,-0.0744658,ctrl,All,#4682B4,0
9,15,-0.44716,-0.257185,ctrl,All,#4682B4,0
0,16,-0.0450774,0.144898,ctrl,All,#4682B4,0
1,16,-0.637932,-0.447956,ctrl,All,#4682B4,0
2,16,-0.385557,-0.195581,ctrl,All,#4682B4,0
3,16,-0.487744,-0.297768,ctrl,All,#4682B4,0
4,16,-0.400039,-0.210063,ctrl,All,#4682B4,0
5,16,-0.126037,0.0639386,ctrl,All,#4682B4,0
6,16,-0.312803,-0.122827,ctrl,All,#4682B4,0
7,16,-0.325719,-0.135744,ctrl,All,#4682B4,0
8,16,-0.952471,-0.762495,ctrl,All,#4682B4,0
9,16,-0.48166,-0.291684,ctrl,All,#4682B4,0
0,17,0.280261,0.470237,ctrl,All,#4682B4,0
1,17,-0.255093,-0.0651169,ctrl,All,#4682B4,0
2,17,0.138175,0.328151,ctrl,All,#4682B4,0
3,17,0.274511,0.464486,ctrl,All,#4682B4,0
4,17,0.480985,0.670961,ctrl,All,#4682B4,0
5,17,-0.103092,0.0868836,ctrl,All,#4682B4,0
6,17,0.33205,0.522026,ctrl,All,#4682B4,0
7,17,0.518594,0.708569,ctrl,All,#4682B4,0
8,17,0.434247,0.624223,ctrl,All,#4682B4,0
9,17,-0.0200157,0.16996,ctrl,All,#4682B4,0
0,18,0.273666,0.463642,ctrl,All,#4682B4,0
1,18,0.150267,0.340243,ctrl,All,#4682B4,0
2,18,0.553221,0.743197,ctrl,All,#4682B4,0
3,18,-0.0103854,0.17959,ctrl,All,#4682B4,0
4,18,0.751084,0.941059,ctrl,All,#4682B4,0
5,18,-0.00916406,0.180812,ctrl,All,#4682B4,0
6,18,0.502092,0.692068,ctrl,All,#4682B4,0
7,18,0.0240946,0.21407,ctrl,All,#4682B4,0
8,18,0.91689,1.10687,ctrl,All,#4682B4,0
9,18,0.353967,0.543943,ctrl,All,#4682B4,0
0,19,-0.116007,0.0739686,ctrl,All,#4682B4,0
1,19,0.895055,1.08503,ctrl,All,#4682B4,0
2,19,0.80034,0.990315,ctrl,All,#4682B4,0
3,19,0.0481834,0.238159,ctrl,All,#4682B4,0
4,19,0.482856,0.672831,ctrl,All,#4682B4,0
5,19,0.200945,0.390921,ctrl,All,#4682B4,0
6,19,0.0962953,0.286271,ctrl,All,#4682B4,0
7,19,0.104372,0.294347,ctrl,All,#4682B4,0
8,19,-0.117032,0.0729435,ctrl,All,#4682B4,0
9,19,-0.0463895,0.143586,ctrl,All,#4682B4,0
0,20,0.488104,0.67808,ctrl,All,#4682B4,0
1,20,0.778071,0.968046,ctrl,All,#4682B4,0
2,20,0.099597,0.289573,ctrl,All,#4682B4,0
3,20,0.106598,0.296573,ctrl,All,#4682B4,0
4,20,0.447679,0.637654,ctrl,All,#4682B4,0
5,20,0.221026,0.411001,ctrl,All,#4682B4,0
6,20,0.420268,0.610244,ctrl,All,#4682B4,0
7,20,0.687864,0.87784,ctrl,All,#4682B4,0
8,20,0.674098,0.864074,ctrl,All,#4682B4,0
9,20,0.538103,0.728079,ctrl,All,#4682B4,0
