time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
5.62389e-06,0.189168,5.62389e-06,0.352278,5.62389e-06,0.264197,1.74165e+06,-0.0533298,1.75864e+06,-0.0595654,1.74165e+06,-0.05891,All
1.18891e-05,0.189168,1.18891e-05,0.352278,1.18891e-05,0.264197,1.78537e+06,-0.0455581,1.79164e+06,-0.0591842,1.78537e+06,-0.0490642,All
2.5134e-05,0.189168,2.5134e-05,0.352277,2.5134e-05,0.264196,1.79113e+06,-0.0445338,1.82647e+06,-0.0587818,1.79113e+06,-0.0477665,All
5.31342e-05,0.189167,5.31342e-05,0.352275,5.31342e-05,0.264195,1.84202e+06,-0.035488,1.84708e+06,-0.0585437,1.84202e+06,-0.0363065,All
0.000112328,0.189166,0.000112328,0.352271,0.000112328,0.264192,1.8462e+06,-0.0347447,1.8943e+06,-0.0568814,1.8462e+06,-0.0353649,All
0.000237465,0.189164,0.000237465,0.352263,0.000237465,0.264186,1.89436e+06,-0.0261851,1.90425e+06,-0.0563806,1.89436e+06,-0.0245209,All
0.000502009,0.18916,0.000502009,0.352246,0.000502009,0.264173,1.90704e+06,-0.0239312,1.96213e+06,-0.0528533,1.90704e+06,-0.0216655,All
0.00106126,0.189151,0.00106126,0.35221,0.00106126,0.264145,1.94818e+06,-0.0166179,1.96318e+06,-0.0527444,1.94818e+06,-0.0124004,All
0.00224355,0.189132,0.00224355,0.352134,0.00224355,0.264086,1.96787e+06,-0.0131177,2.02393e+06,-0.0464109,1.96787e+06,-0.0079661,All
0.00474295,0.189091,0.00474295,0.351973,0.00474295,0.263961,2.00353e+06,-0.00677889,2.02996e+06,-0.0457823,2.00353e+06,6.44181e-05,All
0.0100268,0.189005,0.0100268,0.351632,0.0100268,0.263697,2.0287e+06,-0.00230423,2.08657e+06,-0.0392948,2.0287e+06,0.00573328,All
0.0211969,0.188823,0.0211969,0.350912,0.0211969,0.263139,2.06045e+06,0.00333966,2.09779e+06,-0.0372788,2.06045e+06,0.0128834,All
0.0448111,0.188438,0.0448111,0.349389,0.0448111,0.261959,2.08954e+06,0.00850924,2.15114e+06,-0.0276978,2.08954e+06,0.0194327,All
