parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	parameterType
rho	rho	log10	1e-08	100000000.0	1	1	
kappa	kappa	log10	1e-08	100000000.0	1	1	
psi	psi	log10	1e-08	100000000.0	1	1	
phi	phi	log10	1e-08	100000000.0	1	1	
beta	beta	log10	1e-08	100000000.0	1	1	
alpha	alpha	log10	1e-08	100000000.0	1	1	
delta	delta	log10	1e-08	100000000.0	1	1	
sigma_add	additive_noise	log10	1e-08	100000000.0	1	1	
sigma_mul	multiplicative_noise	log10	1e-08	100000000.0	1	1	
