observableId	simulationConditionId	measurement	time
tumor_num	vvDD	1191.5351355813784	0
tumor_num	vvDD	1259.2606434065215	0
tumor_num	vvDD	1343.9175281879443	0
tumor_num	vvDD	1462.4371668819442	0
tumor_num	vvDD	2249.746195349207	0
tumor_num	vvDD	2681.496307734481	0
tumor_num	vvDD	2791.5502579503377	0
tumor_num	vvDD	2859.2757657754814	0
tumor_num	vvDD	3274.0945012044695	0
tumor_num	vvDD	3333.3543205514698	0
tumor_num	vvDD	1792.5990175295099	1
tumor_num	vvDD	2156.6236220896412	1
tumor_num	vvDD	1411.643036013087	1
tumor_num	vvDD	2173.5549990459212	1
tumor_num	vvDD	2783.084569472195	1
tumor_num	vvDD	2444.457030346487	1
tumor_num	vvDD	4146.060414453161	1
tumor_num	vvDD	3511.1337785924584	1
tumor_num	vvDD	3909.021137065167	1
tumor_num	vvDD	2554.5109805623442	1
tumor_num	vvDD	1073.0154968873842	2
tumor_num	vvDD	1276.192020362807	2
tumor_num	vvDD	776.7164001523901	2
tumor_num	vvDD	2334.4030801306353	2
tumor_num	vvDD	768.250711674247	2
tumor_num	vvDD	2148.1579336114983	2
tumor_num	vvDD	2529.1139151279153	2
tumor_num	vvDD	2952.398339035047	2
tumor_num	vvDD	2986.261092947618	2
tumor_num	vvDD	2639.1678653437725	2
tumor_num	vvDD	937.5644812370986	3
tumor_num	vvDD	920.6331042808129	3
tumor_num	vvDD	582.00556515511	3
tumor_num	vvDD	514.2800573299672	3
tumor_num	vvDD	666.6624499365386	3
tumor_num	vvDD	1115.3439392780983	3
tumor_num	vvDD	2038.1039833956413	3
tumor_num	vvDD	1225.3978894939498	3
tumor_num	vvDD	2071.9667373082125	3
tumor_num	vvDD	895.2360388463899	3
tumor_num	vvDD	133.32407581355005	4
tumor_num	vvDD	268.7750914638357	4
tumor_num	vvDD	201.04958363869287	4
tumor_num	vvDD	141.78976429169293	4
tumor_num	vvDD	505.8143688518243	4
tumor_num	vvDD	692.0595153709671	4
tumor_num	vvDD	1555.5597401415098	4
tumor_num	vvDD	912.16741580267	4
tumor_num	vvDD	1665.613690357367	4
tumor_num	vvDD	988.3586121059557	4
tumor_num	ctrl	920.8285848498176	0
tumor_num	ctrl	977.2906705140732	0
tumor_num	ctrl	1076.015526181746	0
tumor_num	ctrl	1456.9289276328561	0
tumor_num	ctrl	1668.5474839945828	0
tumor_num	ctrl	1734.4147580171452	0
tumor_num	ctrl	2493.875089122541	0
tumor_num	ctrl	2599.6691319861698	0
tumor_num	ctrl	3283.917699539649	0
tumor_num	ctrl	3544.9139190524434	0
tumor_num	ctrl	1340.8662809544123	1
tumor_num	ctrl	854.1131306879731	1
tumor_num	ctrl	1362.0129012733441	1
tumor_num	ctrl	2420.1209183992087	1
tumor_num	ctrl	2547.0768168990066	1
tumor_num	ctrl	2191.5909019268206	1
tumor_num	ctrl	3548.7532189950784	1
tumor_num	ctrl	3703.9553956442437	1
tumor_num	ctrl	2864.535122076062	1
tumor_num	ctrl	3619.2775024650837	1
tumor_num	ctrl	1711.4958432734595	2
tumor_num	ctrl	907.3300937816703	2
tumor_num	ctrl	1267.0511689621376	2
tumor_num	ctrl	3298.650251303638	2
tumor_num	ctrl	3009.4229889587123	2
tumor_num	ctrl	2034.8992474802471	2
tumor_num	ctrl	3693.686791829429	2
tumor_num	ctrl	3580.8083264526012	2
tumor_num	ctrl	3693.6715565121917	2
tumor_num	ctrl	4201.5408564631	2
tumor_num	ctrl	1616.54934627949	3
tumor_num	ctrl	1165.1573673100745	3
tumor_num	ctrl	1186.2735169945433	3
tumor_num	ctrl	2879.25243852282	3
tumor_num	ctrl	3337.759310639891	3
tumor_num	ctrl	2530.4680230981435	3
tumor_num	ctrl	4402.890809010012	3
tumor_num	ctrl	3803.3048993184557	3
tumor_num	ctrl	3330.6748881266976	3
tumor_num	ctrl	4614.539836006201	3
tumor_num	ctrl	1860.3144220021393	4
tumor_num	ctrl	1098.5180897343985	4
tumor_num	ctrl	1310.1518814133508	4
tumor_num	ctrl	3955.353365300457	4
tumor_num	ctrl	3581.4939157280774	4
tumor_num	ctrl	2706.3836139971704	4
tumor_num	ctrl	4040.0312584796116	4
tumor_num	ctrl	4484.399756204771	4
tumor_num	ctrl	3877.7446593172585	4
tumor_num	ctrl	4949.960580200567	4
