tumor_vol_vvDD_1,,tumor_vol_vvDD_2,,tumor_vol_vvDD_3,,tumor_vol_vvDD_4,,tumor_vol_vvDD_5,,tumor_vol_vvDD_6,,tumor_vol_vvDD_7,,tumor_vol_vvDD_8,,tumor_vol_vvDD_9,,tumor_vol_vvDD_10,,tumor_vol_pbs_1,,tumor_vol_pbs_2,,tumor_vol_pbs_3,,tumor_vol_pbs_4,,tumor_vol_pbs_5,,tumor_vol_pbs_6,,tumor_vol_pbs_7,,tumor_vol_pbs_8,,tumor_vol_pbs_9,,tumor_vol_pbs_10,,tumor_vol_vvDD,,tumor_vol_pbs,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3.0135200750134112,1585933.2654588148,3.00781987797024,1676075.9163740799,3.00781987797024,1788754.2300181538,3.00781987797024,1946503.8691198677,3.0135200750134112,2994412.1860097945,3.00781987797024,3569071.5855945945,3.0021196809270694,3715553.3933319002,3.00781987797024,3805696.0442471653,3.00781987797024,4357819.781103149,2.9964194838838982,4436694.600654006,2.9981131934201377,1308964.577452667,2.9884695153452787,1384481.76461339,2.997783751001431,1516513.3012376577,2.9969751196100605,2025951.0778008252,2.996525879948188,2308972.064780362,2.9963761333942314,2403312.393773541,2.990011904851042,3412776.375983648,2.994549225435951,3554264.407490328,2.9883347434467185,4469388.060707256,2.9877806811970755,4818447.277982019,2.9941627178828583,2993850.0447268933,2.9941627178828583,2619177.3742852136
3.999654163481999,2385949.2923317775,3.999654163481999,2870466.0410013124,4.00535436052517,1878896.8809334189,4.00535436052517,2893001.7037301213,3.999654163481999,3704285.561967492,4.00535436052517,3253572.307391174,4.00535436052517,5518406.411637157,4.00535436052517,4673319.059306562,4.00535436052517,5202907.133433737,3.999654163481999,3400054.11512848,3.9972222014240915,1870289.5349620804,4.007779333478088,1219296.3409429565,4.00193921787375,1898569.1716769412,3.994931079148542,3313696.568557717,3.999423475767265,3483486.6987623423,4.995732223212214,2808975.8084442094,3.992535134285224,4823141.832448579,3.9874437514506704,5030713.01821667,3.989225735442763,3908063.1031978354,3.997147328147112,4917459.699458666,2.9941627178828583,3344350.2848174945,2.9941627178828583,3005936.2599024326
5.014289237166442,1428183.6263571084,5.014289237166442,1698611.5791028962,4.997188646036928,1033809.5286028311,5.0028888430801,3107090.499653876,4.997188646036928,1022541.6972384229,5.0028888430801,2859198.2096369043,5.025689631252784,3366250.6210352555,5.008589040123271,3929642.1892556474,5.008589040123271,3974713.51471328,4.997188646036928,3512732.4287725613,5.005959912847506,2365531.3382100835,5.012428963978468,1290029.1257047504,5.021189137384977,1771119.8796037734,4.997828674967617,4488211.202539705,5.0032045762546895,4101393.391684577,6.008962331254351,3474007.741896838,4.99222815384961,5016539.506884597,4.997229688751788,4865572.51851242,4.996990094265455,5016517.044901505,5.000673859492809,5695744.951669306,2.9941627178828583,2643349.804636292,2.9941627178828583,2220332.2734924704
6.00042332563503,1247898.3245265782,6.0061235226782,1225362.661797762,6.017523916764542,774649.4072214514,6.011823719721372,684506.7563061863,6.00042332563503,887327.7208655328,6.0061235226782,1484522.783179149,6.00042332563503,2712716.4018995985,6.00042332563503,1631004.5909164473,5.9947231285918585,2757787.727357231,6.00042332563503,1191559.167704545,6.020447891942886,2238104.508120008,6.002358508224829,1634416.2504960373,6.016599405506182,1662650.9632447138,6.003481607379512,3926863.7830471992,6.002508254778788,4540075.921502858,6.970529878181179,3686453.177996248,6.005009022229877,5964592.42731677,6.006281867938514,5162699.630874753,6.012047110265876,4530596.964637354,5.995035901736313,6247658.338262491,3.9944582283069963,3571987.7821318656,3.9944582283069963,3245659.9723923355
6.9865574141036175,177454.34490783513,6.980857217060446,357739.6467383653,6.9865574141036175,267596.9958231002,6.9865574141036175,188722.17627224326,6.980857217060446,673238.9249417782,6.975157020017275,921131.2149587572,6.975157020017275,2070450.0141283497,6.975157020017275,1214094.8304333538,6.980857217060446,2216931.8218656555,6.980857217060446,1315505.312713027,6.996121564252504,2563690.953061953,6.988214946203549,1544860.3239017949,6.983003766125832,1827903.7728644237,6.986912151184121,5365621.1861424595,6.987705807920094,4865617.442478612,4.000172208537053,3011785.0537964553,6.977208574487681,5478874.5049004555,6.98578905202944,6073173.653591298,6.991838812809321,5261824.362266868,6.984800724773321,6695819.824946284,4.002725133351824,3958730.1339389905,3.9944582283069963,3668677.5035361685
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9944582283069963,3185228.8965146467,3.9944582283069963,2810556.2260729745
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.003020643775962,2590987.228082359,4.994753738731134,3642504.482164245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.003020643775962,2965659.898524031,4.994753738731134,4125953.089185763
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.003020643775962,2240486.9879917577,5.003020643775962,3159039.341332644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.995049249155272,1452898.9443710297,5.995049249155272,3833883.333952006
