ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
7,3,1.51327e+06,1.58689,1.58689,1.44764e+06,2.0824,2.0824,1.44823e+06,2.08058,2.08058,1.51327e+06,1.42373,1.42373,0,All,#4682B4,0
7,4,994527,2.18503,2.18503,963435,2.73806,2.73806,964819,2.73072,2.73072,994527,1.96091,1.96091,0,All,#4682B4,0
8,0,2.46427e+06,0.852201,0.852201,3.06551e+06,0.575375,0.575375,2.98744e+06,0.652684,0.652684,2.46427e+06,0.945276,0.945276,0,All,#4682B4,0
8,1,3.00684e+06,1.11377,1.11377,3.50549e+06,0.79386,0.79386,3.44431e+06,0.850288,0.850288,3.00684e+06,1.15225,1.15225,0,All,#4682B4,0
8,2,2.66843e+06,1.27922,1.27922,2.55686e+06,1.27939,1.27939,2.5731e+06,1.25628,1.25628,2.66843e+06,1.23778,1.23778,0,All,#4682B4,0
8,3,1.51327e+06,0.0857418,0.0857418,1.4044e+06,0.384494,0.384494,1.41724e+06,0.359419,0.359419,1.51327e+06,0.125036,0.125036,0,All,#4682B4,0
8,4,994527,0.383566,0.383566,942909,0.685344,0.685344,948786,0.66634,0.66634,994527,0.383804,0.383804,0,All,#4682B4,0
9,0,2.46427e+06,1.12321,1.12321,2.78286e+06,1.34863,1.34863,2.78491e+06,1.34587,1.34587,2.46427e+06,1.23067,1.23067,0,All,#4682B4,0
9,1,3.00684e+06,1.38502,1.38502,3.27911e+06,1.39803,1.39803,3.2808e+06,1.39607,1.39607,3.00684e+06,1.2882,1.2882,0,All,#4682B4,0
9,2,2.66843e+06,1.31829,1.31829,2.61038e+06,1.24545,1.24545,2.61003e+06,1.24594,1.24594,2.66843e+06,1.35313,1.35313,0,All,#4682B4,0
9,3,1.51327e+06,1.64419,1.64419,1.45022e+06,2.14853,2.14853,1.45013e+06,2.14882,2.14882,1.51327e+06,1.5283,1.5283,0,All,#4682B4,0
9,4,994527,2.60999,2.60999,965263,3.08998,3.08998,966104,3.08522,3.08522,994527,2.34953,2.34953,0,All,#4682B4,0
10,0,2.46427e+06,1.11614,1.11614,3.30799e+06,0.813074,0.813074,3.06004e+06,1.07204,1.07204,2.46427e+06,1.12221,1.12221,0,All,#4682B4,0
10,1,3.00684e+06,0.217921,0.217921,3.68929e+06,-0.186821,-0.186821,3.50124e+06,-0.0688639,-0.0688639,3.00684e+06,0.339619,0.339619,0,All,#4682B4,0
10,2,2.66843e+06,0.880613,0.880613,2.50791e+06,0.95475,0.95475,2.55711e+06,0.890534,0.890534,2.66843e+06,0.898687,0.898687,0,All,#4682B4,0
10,3,1.51327e+06,-0.511019,-0.511019,1.37203e+06,-0.313436,-0.313436,1.40605e+06,-0.363516,-0.363516,1.51327e+06,-0.522384,-0.522384,0,All,#4682B4,0
10,4,994527,0.593875,0.593875,929228,0.99058,0.99058,944677,0.935407,0.935407,994527,0.654445,0.654445,0,All,#4682B4,0
11,0,2.46427e+06,-0.856113,-0.856113,1.25373e+06,-0.0534265,-0.0534265,1.15827e+06,0.138576,0.138576,2.46427e+06,-0.939046,-0.939046,0,All,#4682B4,0
11,1,3.00486e+06,-0.825502,-0.825502,1.76824e+06,0.0221672,0.0221672,1.65392e+06,0.18841,0.18841,3.00486e+06,-0.758149,-0.758149,0,All,#4682B4,0
11,2,3.457e+06,-0.688159,-0.688159,2.33865e+06,-0.0617987,-0.0617987,2.21619e+06,0.0664582,0.0664582,3.457e+06,-0.672089,-0.672089,0,All,#4682B4,0
11,3,3.79865e+06,-1.00999,-1.00999,2.89432e+06,-0.611471,-0.611471,2.7746e+06,-0.535035,-0.535035,3.79865e+06,-1.03043,-1.03043,0,All,#4682B4,0
11,4,4.03622e+06,-0.831472,-0.831472,3.37135e+06,-0.632795,-0.632795,3.27305e+06,-0.580235,-0.580235,4.03622e+06,-0.776452,-0.776452,0,All,#4682B4,0
12,0,2.46427e+06,-0.865546,-0.865546,1.07374e+06,0.503856,0.503856,967540,0.820714,0.820714,2.46427e+06,-0.902581,-0.902581,0,All,#4682B4,0
12,1,3.00486e+06,-1.21667,-1.21667,1.55025e+06,-0.635493,-0.635493,1.41662e+06,-0.47065,-0.47065,3.00486e+06,-1.31074,-1.31074,0,All,#4682B4,0
12,2,3.457e+06,-1.35411,-1.35411,2.10367e+06,-1.01496,-1.01496,1.95502e+06,-0.910946,-0.910946,3.457e+06,-1.50821,-1.50821,0,All,#4682B4,0
12,3,3.79865e+06,-1.30438,-1.30438,2.67027e+06,-0.998984,-0.998984,2.52285e+06,-0.918115,-0.918115,3.79865e+06,-1.31235,-1.31235,0,All,#4682B4,0
12,4,4.03622e+06,-1.51902,-1.51902,3.18194e+06,-1.28795,-1.28795,3.05198e+06,-1.24133,-1.24133,4.03622e+06,-1.56725,-1.56725,0,All,#4682B4,0
