rep,ID,standEta_theta_simulated,GROUP,filter
8,17,1.3012,ctrl,0
9,17,1.14631,ctrl,0
10,17,0.312111,ctrl,0
1,18,0.851422,ctrl,0
2,18,0.624815,ctrl,0
3,18,1.36479,ctrl,0
4,18,0.329796,ctrl,0
5,18,1.72814,ctrl,0
6,18,0.332038,ctrl,0
7,18,1.2709,ctrl,0
8,18,0.393114,ctrl,0
9,18,2.03262,ctrl,0
10,18,0.998885,ctrl,0
1,19,0.135834,ctrl,0
2,19,1.99253,ctrl,0
3,19,1.81859,ctrl,0
4,19,0.43735,ctrl,0
5,19,1.23557,ctrl,0
6,19,0.717879,ctrl,0
7,19,0.525702,ctrl,0
8,19,0.540533,ctrl,0
9,19,0.133952,ctrl,0
10,19,0.263678,ctrl,0
1,20,1.24521,ctrl,0
2,20,1.7777,ctrl,0
3,20,0.531765,ctrl,0
4,20,0.544621,ctrl,0
5,20,1.17097,ctrl,0
6,20,0.754754,ctrl,0
7,20,1.12064,ctrl,0
8,20,1.61205,ctrl,0
9,20,1.58677,ctrl,0
10,20,1.33703,ctrl,0
