observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters
tumor_vol	ctrl_8	5062198.820992865	3	scaling_1	sd_vol
tumor_vol	ctrl_9	4433128.276096635	3	scaling_1	sd_vol
tumor_vol	ctrl_10	6141952.521724254	3	scaling_1	sd_vol
tumor_vol	ctrl_1	2476078.4956848472	4	scaling_1	sd_vol
tumor_vol	ctrl_2	1462127.5774364844	4	scaling_1	sd_vol
tumor_vol	ctrl_3	1743812.15416117	4	scaling_1	sd_vol
tumor_vol	ctrl_4	5264575.329214908	4	scaling_1	sd_vol
tumor_vol	ctrl_5	4766968.401834071	4	scaling_1	sd_vol
tumor_vol	ctrl_6	3602196.590230234	4	scaling_1	sd_vol
tumor_vol	ctrl_7	5377281.605036363	4	scaling_1	sd_vol
tumor_vol	ctrl_8	5968736.07550855	4	scaling_1	sd_vol
tumor_vol	ctrl_9	5161278.141551271	4	scaling_1	sd_vol
tumor_vol	ctrl_10	6588397.532246955	4	scaling_1	sd_vol
